;Ch1;Ch2;Ch3;Ch4;Ch5;Ch6;Ch7;Ch8;Ch9;Ch10;Ch11;Ch12;Ch13;Ch14;Ch15;Ch16;Ch17;Ch18;Ch19;Ch20;Ch21;Ch22;Ch23;Ch24;Ch25;Ch26;Ch27;Ch28;Ch29;Ch30;Ch31;Ch32
1593689654,5891209;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,5931208;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,5971208;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6011207;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6051207;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6091206;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6131206;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6171205;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6211205;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6251204;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
